Bouguer	eTh	eU	GT	Kperc	SRTM	SIGLA_UNID	X	Y
-44.1663	5.37	1.51	0.489	4.62	338.05	A3_gamma_al	545250.0	9263500.0
-42.5766	5.26	2.93	0.1646	3.42	331.86	A3_gamma_al	545000.0	9265625.0
-43.1001	3.46	1.55	0.0365	3.15	295.27	A3_gamma_al	546125.0	9265125.0
-45.546	4.95	0.67	0.3228	3.48	296.91	A3_gamma_al	549250.0	9263000.0
-42.6452	5.91	2.3	0.2929	3.56	336.12	A3_gamma_al	544625.0	9265375.0
-46.0099	3.44	0.72	0.0739	2.0	302.96	A3_gamma_al	529500.0	9265250.0
-44.0149	4.02	1.05	0.0271	3.45	286.43	A3_gamma_al	548250.0	9265000.0
-48.1071	3.72	1.82	0.4373	2.63	298.48	A3_gamma_al	554875.0	9262500.0
-44.2609	6.98	1.76	0.2803	5.04	303.76	A3_gamma_al	542625.0	9264250.0
-44.8932	5.65	1.34	0.4801	3.28	313.48	A3_gamma_al	548375.0	9263375.0
-43.3274	7.14	1.41	0.0652	2.91	308.33	A3_gamma_al	532625.0	9264750.0
-44.9671	2.92	0.72	0.0975	2.73	287.75	A3_gamma_al	537875.0	9264750.0
-47.6325	4.36	1.38	0.0955	1.63	273.64	A3_gamma_al	553750.0	9263750.0
-43.6204	3.82	1.39	0.0707	2.83	305.59	A3_gamma_al	533250.0	9265375.0
-43.5859	2.07	0.51	0.9686	1.11	308.94	A3_gamma_al	547875.0	9266000.0
-43.2481	3.82	1.36	0.081	3.04	293.9	A3_gamma_al	546375.0	9265000.0
-46.0958	6.3	1.31	0.3863	4.52	311.96	A3_gamma_al	550250.0	9263000.0
-45.3324	2.67	1.05	0.0229	2.66	294.6	A3_gamma_al	541000.0	9263750.0
-47.1595	7.72	1.52	0.0487	2.25	282.92	A3_gamma_al	553500.0	9264750.0
-45.0964	4.11	1.22	0.0821	3.27	286.47	A3_gamma_al	539875.0	9264500.0
-45.7201	10.11	1.82	0.1187	3.55	283.32	A3_gamma_al	551250.0	9264875.0
-44.3734	4.9	1.5	0.086	4.6	311.64	A3_gamma_al	543750.0	9263625.0
-43.2564	7.34	1.84	0.2615	2.72	321.09	A3_gamma_al	534000.0	9264375.0
-46.5708	3.98	0.63	0.3301	4.55	296.9	A3_gamma_al	550750.0	9262625.0
-44.7246	5.85	0.83	0.0357	3.73	282.58	A3_gamma_al	549625.0	9264875.0
-43.7025	5.41	1.12	0.2418	2.74	323.08	A3_gamma_al	532375.0	9265125.0
-43.4734	9.27	1.85	0.048	3.55	312.07	A3_gamma_al	545625.0	9264375.0
-44.3139	7.99	1.56	0.3441	2.41	297.82	A3_gamma_al	547750.0	9263875.0
-43.6971	8.25	1.77	0.2193	3.78	320.51	A3_gamma_al	544875.0	9264125.0
-43.551	4.58	1.67	0.1075	2.57	306.12	A3_gamma_al	533375.0	9265250.0
-44.0017	4.08	0.96	0.9867	2.89	319.93	A3_gamma_al	532375.0	9265500.0
-42.5455	5.9	2.56	0.1855	3.64	333.22	A3_gamma_al	545000.0	9265750.0
-44.3905	4.11	1.66	0.2233	3.94	310.74	A3_gamma_al	546250.0	9263250.0
-42.9282	5.89	1.39	0.2409	3.63	322.66	A3_gamma_al	544375.0	9265000.0
-45.008	3.62	0.8	0.092	2.8	287.43	A3_gamma_al	538125.0	9264750.0
-47.7049	7.48	2.01	0.3383	2.04	276.71	A3_gamma_al	553375.0	9263125.0
-47.5498	4.74	1.59	0.0488	1.97	271.79	A3_gamma_al	554625.0	9264625.0
-44.4672	4.63	1.72	0.1255	3.85	297.32	A3_gamma_al	541625.0	9264500.0
-44.6468	3.33	1.65	0.0967	3.24	307.39	A3_gamma_al	545500.0	9262750.0
-45.2068	4.63	1.21	0.0329	3.41	302.31	A3_gamma_al	539125.0	9264500.0
-43.6296	8.66	2.47	0.0882	3.79	326.47	A3_gamma_al	534500.0	9265000.0
-43.5141	7.62	1.66	0.1041	3.66	315.08	A3_gamma_al	534250.0	9264875.0
